title,platform,genre,developer,publisher,image
Night Driver,Atari 2600,Driving/Racing,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367787-a2600_nightdriver.jpg
Night Trap,Sega 32X,Adventure,"Digital Pictures, Inc.","Digital Pictures, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/1614/752380-night_trap_scd_us.jpg
Nightcaster: Defeat the Darkness,Xbox,Role-Playing,"VR1 Entertainment, Inc.",Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2276020-box_ncdtd.png
Nights Into Dreams,Saturn,Action-Adventure,Sonic Team,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2115069-box_nid.png
Ninja Gaiden,Game Gear,Action,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/1/17724/887730-ninja_gaiden__game_gear_.png
Ninja Gaiden,Nintendo Entertainment System,Action,Tecmo,Tecmo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2344291-ninja.png
Ninja Gaiden,Xbox,Action,Team Ninja,Tecmo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1797984-box_ngaiden.png
Ninja Gaiden II,Nintendo Entertainment System,Action,Tecmo,Tecmo,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362088-nes_ninjagaiden2.jpg
Ninja Spirit,TurboGrafx-16,Action,Irem Corp.,"NEC Technologies, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365560-tg16_ninjaspirit.jpg
Ninja Warriors,Super Nintendo Entertainment System,Brawler,Natsume,Taito Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2364499-snes_ninjawarriors.jpg
NintendoLand,Wii U,Action,Nintendo EAD,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2381386-nintendolandart.jpg
No More Heroes,Wii,Brawler,Grasshopper Manufacture inc.,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2090573-box_nmh.png
No More Heroes: Heroes' Paradise,PlayStation 3,Brawler,Grasshopper Manufacture inc.,Rising Star Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2090573-box_nmh.png
North & South,Nintendo Entertainment System,Action,Seika Corporation,Kemco,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362098-nes_northandsouth_2.jpg
Octopath Traveler,Nintendo Switch,Role-Playing,Square Enix,Square Enix,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3034945-box_opt.png
Oddworld: Abe's Oddysee,PlayStation,Puzzle,Oddworld Inhabitants,GT Interactive Software Corp.,https://www.giantbomb.com/a/uploads/square_avatar/0/4938/872380-abe.png
Off-World Interceptor Extreme,Saturn,Action,"Crystal Dynamics, Inc.","Crystal Dynamics, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/46/346577-offworldfrontcover.jpg
Okage: Shadow King,PlayStation 2,Action,Sony Interactive Entertainment,Sony Interactive Entertainment America,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2428413-box_okagesk.png
Omikron: The Nomad Soul,Dreamcast,Fighting,Quantic Dream,Sold Out Sales & Marketing Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/4/48222/1085892-cover_fr.jpg
One on One Basketball,Atari 7800,Sports,Computer Magic,Atari,https://www.giantbomb.com/a/uploads/square_avatar/0/5267/654418-dr_j_and_larry_bird_one_on_one.jpg
Onechanbara: Bikini Samurai Squad,Xbox 360,Action,Tamsoft Corporation,D3 Publisher Inc.,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2314071-box_obss.png
Onechanbara: Bikini Zombie Slayers,Wii,Action,Tamsoft Corporation,D3 Publisher Inc.,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2193297-box_obzs.png
Oni,PlayStation 2,Action,Bungie,"Take-Two Interactive Software, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/12/123054/1841176-376.jpg
Operation C,Game Boy,Action,Konami,Konami,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1841712-box_operc.png
Operation Wolf,Nintendo Entertainment System,Light-Gun Shooter,Taito Corporation,Taito Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362103-nes_operationwolf.jpg
Orphen: Scion of Sorcery,PlayStation 2,Action,"Shade, Inc.",Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2421680-box_osos.png
Othello,Atari 2600,Strategy,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/588438-b_othello_color_front.jpg
Out of this World,Super Nintendo Entertainment System,Platformer,Delphine Software International,Interplay Entertainment Corp.,https://www.giantbomb.com/a/uploads/square_avatar/0/8960/1907052-out_of_this_world_cover.jpg
Outer Space,Atari 2600,Action,Atari,"Sears, Roebuck and Co.",https://www.giantbomb.com/a/uploads/square_avatar/0/5278/288309-star_ship.jpg
Outlander,Super Nintendo Entertainment System,Action,Mindscape,Mindscape,https://www.giantbomb.com/a/uploads/square_avatar/0/3106/413290-cvr_fron.jpg
Outlaw,Atari 2600,Action,Atari,"Sears, Roebuck and Co.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367790-a2600_outlaw.jpg
OutRun 2019,Genesis,Action,SIMS,Sega,https://www.giantbomb.com/a/uploads/square_avatar/10/105947/1518667-outrun_2019_mg.png
P.O.W. - Prisoners of War,Nintendo Entertainment System,Action,SNK,SNK,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362104-nes_pow_2.jpg
Pac-Man,Atari 2600,Strategy,Bandai Namco Entertainment,Bandai Namco Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1331111-pacman_box.png
Pac-Man,Atari 5200,Strategy,Bandai Namco Entertainment,Bandai Namco Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1331111-pacman_box.png
Pac-Mania,Nintendo Entertainment System,Action,Westwood Associates,Tengen,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3430350-flyer_pmania.png
Palamedes,Nintendo Entertainment System,Strategy,"Hot-B Co., Ltd.","Hot-B Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/0/3413/232971-palamedes.jpg
Panic Bomber,Virtual Boy,Puzzle,"Hudson Entertainment, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/26/2344176-pce_cd_panicbomber.jpeg
Panzer Dragoon II Zwei,Saturn,Action,Team Andromeda,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2160112-box_pd2.png
Panzer Dragoon Orta,Xbox,Action,Smilebit,Sega,https://www.giantbomb.com/a/uploads/square_avatar/1/12541/3052552-tall%20%28cropped%29.jpg
Paper Mario: Color Splash,Wii U,Role-Playing,Nintendo,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2863872-pmcs.jpg
Paperboy,Genesis,Action,Motivetime Ltd.,Tengen,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362109-nes_paperboy.jpg
Paperboy,Nintendo Entertainment System,Action,Tengen,Mindscape,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362109-nes_paperboy.jpg
Paperboy 2,Super Nintendo Entertainment System,Action,Tengen,Mindscape,https://www.giantbomb.com/a/uploads/square_avatar/0/6087/602752-65_8.jpg
Parasol Stars: The Story of Bubble Bobble III,TurboGrafx-16,Action,Taito Corporation,Working Designs,https://www.giantbomb.com/a/uploads/square_avatar/0/1099/1287317-1170444247_00.jpg
Parsec,TI-99/4A,Shoot 'Em Up,Texas Instruments,Texas Instruments,https://www.giantbomb.com/a/uploads/square_avatar/0/1992/279203-scan0009.jpg
Pebble Beach Golf Links,3DO,Sports,"T&E Soft, Inc.",Panasonic Interactive Media,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3014068-box_pbgl.png
Pelé's Soccer,Atari 2600,Sports,,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367797-a2600_pelessoccer_none.jpg
Perfect Dark,Nintendo 64,First-Person Shooter,"Rare, Ltd.","Rare, Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/1/12541/3258304-sq_n64_perfectdark_image500w.jpg
Persona 5,PlayStation 3,Role-Playing,P Studio,"Atlus Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2848828-p5clean.jpg
Pete Rose Baseball,Atari 7800,Sports,Absolute Entertainment,Absolute Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/588686-b_peterosebaseball_front.jpg
Phalanx,Super Nintendo Entertainment System,Shoot 'Em Up,Kemco,Kemco,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2364533-snes_phalanx.jpg
Phantasy Star II,Genesis,Role-Playing,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371334-genesis_phantasystar2.jpg
Phantasy Star III: Generations of Doom,Genesis,Role-Playing,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371339-genesis_phantasystariii.jpg
Phantasy Star IV,Genesis,Role-Playing,Sega AM7 R&D Division,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371338-genesis_phantasystar4_eu_cropped.jpg
Phantasy Star Universe,Xbox 360,Action,Sonic Team,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2270788-box_psu.png
Phantom 2040,Super Nintendo Entertainment System,Action,Sunsoft,Viacom New Media,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371341-genesis_phantom2040_eu_cropped.jpg
Phantom Fighter,Nintendo Entertainment System,Action,"Marionette Co., Ltd.",FCI,https://www.giantbomb.com/a/uploads/square_avatar/0/3413/233604-phantom_fighter.jpg
Phoenix,Atari 2600,Shoot 'Em Up,Taito Corporation,"Centuri, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/32/324318/3244335-9775899907-27000.jpg
Pick Axe Pete!,Odyssey 2,Action,Magnavox,Philips do Brasil Ltda.,https://www.giantbomb.com/a/uploads/square_avatar/0/7930/242907-pickaxe_pete_eu_box_art.jpg
Pigs in Space,Atari 2600,Action,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/15568/592621-2600pigsinspacesealedboxed.jpg
Pilotwings,Super Nintendo Entertainment System,Flight Simulator,Nintendo EAD,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2832012-pilotwings.jpg
Pin*Bot,Nintendo Entertainment System,Pinball,"Rare, Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/7465/783177-587511_46963_front.jpg
Pinball Quest,Nintendo Entertainment System,Role-Playing,"TOSE Co., Ltd.",Jaleco Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362117-nes_pinballquest.jpg
Pirates! Gold,Genesis,Action,"MicroProse Software, Inc.","MicroProse Software, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/1/14034/445863-pirates.jpg
Pitfall II: Lost Caverns,Atari 2600,Platformer,Activision,"Pony Canyon, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366214-a5200_pitfall2.jpg
Pitfall II: Lost Caverns,Atari 5200,Platformer,Activision,"Pony Canyon, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366214-a5200_pitfall2.jpg
Pitfall!,Atari 2600,Platformer,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367802-a2600_pitfall_none.jpg
Pitfall: The Mayan Adventure,Super Nintendo Entertainment System,Platformer,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2967843-box_ptma.png
Plasma Sword: Nightmare of Bilstein,Dreamcast,Fighting,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/0/4865/852181-198302_42704_front.jpg
Pocket Fighter,Saturn,Fighting,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3143176-flyer_sgfmm.png
Pokemon Puzzle League,Nintendo 64,Strategy,Nintendo Software Technology Corporation,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2961588-box_ppl.png
Pokkén Tournament,Wii U,Fighting,Bandai Namco Entertainment,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/1992/3074185-3074117-pkdx.jpg
Pokémon Silver,Game Boy,Adventure,"Game Freak, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/1/17172/1276964-pkmn_goldsilver.png
Pokémon Stadium,Nintendo 64,Action,"HAL Laboratory, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2171291-box_pkmnst.png
Pokémon Sword,Nintendo Switch,Role-Playing,"Game Freak, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/45/459166/3216030-poke.jpg
Pokémon XD: Gale of Darkness,GameCube,Strategy,"Genius Sonority, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2171294-box_pkmnxdgod.png
Pokémon Yellow Version: Special Pikachu Edition,Game Boy,Role-Playing,"Game Freak, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2171295-box_pkmnyv.png
PokéPark 2: Wonders Beyond,Wii,Action-Adventure,"Creatures, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2151656-box_pp2wb.png
PokéPark Wii: Pikachu's Adventure,Wii,Role-Playing,"Creatures, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2103140-box_ppwiipa.png
Pole Position,Atari 2600,Sports,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366215-a5200_poleposition.jpg
Pole Position,Atari 5200,Sports,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366215-a5200_poleposition.jpg
Pole Position II,Atari 7800,Driving/Racing,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2365980-a7800_poleposition2.jpg
Pong Sports,Atari 2600,Platformer,,Mirage Software,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/3219420-5514150368-38643.png
Popeye,Atari 2600,Action,Nintendo R&D1,Parker Brothers,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362121-nes_popeye_gb.jpg
Populous,Super Nintendo Entertainment System,Strategy,"Bullfrog Productions, Ltd.","Imagineer Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/11/118253/2065327-populous_na_box_art.png
Power Moves,Super Nintendo Entertainment System,Fighting,System Vision,"Kaneko Co., Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2918993-box_dmoves.png
Power Punch II,Nintendo Entertainment System,Action,Beam Software,American Softworks Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362127-nes_powerpunch2.jpg
Power Rangers Lightspeed Rescue,Nintendo 64,Action,"Mass Media, Inc.",THQ,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2367514-box_prlr.png
Power Stone,Dreamcast,Fighting,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2975838-box_ps.png
Power Stone 2,Dreamcast,Fighting,Capcom,Eidos Interactive,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2975839-box_ps2.png
Primal Rage,Game Gear,Fighting,Atari Games,"Time Warner Interactive, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1663145-box_primrage.png
Primal Rage,Super Nintendo Entertainment System,Fighting,"Bitmasters, Inc.","Time Warner Interactive, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1663145-box_primrage.png
Prince of Persia,Xbox 360,Puzzle,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2280498-box_pop.png
Prince of Persia: The Two Thrones,Xbox,Action-Adventure,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2280504-box_popttt.png
Prince of Persia: Warrior Within,Xbox,Action-Adventure,Ubisoft Montreal Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2280506-box_popww.png
Pro Wrestling,Sega Master System,Wrestling,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/0/26/10342-prowrestling-sms.jpg
Project Gotham Racing 2,Xbox,Driving/Racing,Bizarre Creations,Xbox Game Studios,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2213166-box_pgr2.png
Prototype,Xbox 360,Action-Adventure,Radical Entertainment Inc.,Sierra,https://www.giantbomb.com/a/uploads/square_avatar/1/13158/1082208-gb.png
Punch-Out!! Featuring Mr. Dream,Nintendo Entertainment System,Boxing,Nintendo R&D3,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/3413/220826-mike_tyson_s_punch_out.jpg
Puyo Puyo Sun,Saturn,Action,Compile,Compile,https://www.giantbomb.com/a/uploads/square_avatar/1/16207/2360462-puyosun.jpg
Puyo Puyo Tetris,Nintendo Switch,Puzzle,Sonic Team,Sega,https://www.giantbomb.com/a/uploads/square_avatar/8/85465/2912120-81fez0skvll._ac_sl1500_.jpg
Puzzle Quest: Challenge of the Warlords,Nintendo DS,Role-Playing,"1st Playable Productions, LLC",D3 Publisher of Europe Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1389043-pquest_box.png
Q*Bert,Atari 2600,Action,Gottlieb,Parker Brothers,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367804-a2600_qbert_none.jpg
Q*Bert,PlayStation,Action,Pipe Dream Interactive,Majesco Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/0/9261/388258-437096_43891_front.jpg
QIX,Atari 5200,Action,General Computer Corporation,Atari,https://www.giantbomb.com/a/uploads/square_avatar/0/26/3076270-qixflyer.jpg
Qix,Game Boy,Action,Minakuchi Engineering,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/26/3076270-qixflyer.jpg
Quake 4,Xbox 360,First-Person Shooter,id Software,1C Company,https://www.giantbomb.com/a/uploads/square_avatar/1/14912/854052-quake4box.jpg
Quake II,Nintendo 64,Action,id Software,Activision,https://www.giantbomb.com/a/uploads/square_avatar/0/2130/205929-q2box.jpg
Quartet,Sega Master System,Action,Sega,Activision,https://www.giantbomb.com/a/uploads/square_avatar/13/139866/2689301-7899135847-16030.jpg
Quattro Sports,Nintendo Entertainment System,Sports,Codemasters,Camerica,https://www.giantbomb.com/a/uploads/square_avatar/2/28533/942094-quattro_sports.jpg
R-Type,Sega Master System,Shoot 'Em Up,Irem Corp.,Irem Corp.,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3288247-flyer_rtype.png
R-Type III: The Third Lightning,Super Famicom,Shoot 'Em Up,Irem Corp.,Irem Corp.,https://www.giantbomb.com/a/uploads/square_avatar/3/31029/948618-r_type_iii_coverart.png
R.C. Pro-Am,Nintendo Entertainment System,Action,"Rare, Ltd.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/7465/783217-587546_46971_front.jpg
R.C. Pro-Am II,Nintendo Entertainment System,Driving/Racing,"Rare, Ltd.","Rare, Ltd.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362149-nes_rcproam2_4.jpg
Rad Racer II,Nintendo Entertainment System,Driving/Racing,Squaresoft,Squaresoft,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362151-nes_radracer2.jpg
Radar Mission,Game Boy,Strategy,Nintendo R&D1,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/7465/783178-585872_38698_front.jpg
Ragnarok Odyssey,PlayStation Vita,Action,"Game Arts Co., Ltd.",XSEED Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2331140-box_ro.png
Raiders of the Lost Ark,Atari 2600,Adventure,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367807-a2600_raidersofthelostark.jpg
Rampage,Nintendo Entertainment System,Action,Data East Corporation,Data East Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367810-a2600_rampage_none.jpg
Ranger X,Genesis,Shooter,Sega,Sega,https://www.giantbomb.com/a/uploads/square_avatar/9/97089/2237979-586414_46772_front.jpg
Rap Jam: Volume One,Super Nintendo Entertainment System,Basketball,Mandingo Entertainment,Motown Software,https://www.giantbomb.com/a/uploads/square_avatar/0/7578/520211-588602_40354_front.jpg
Rastan,Sega Master System,Action,Taito Corporation,Taito Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362986-sms_rastan.jpg
Rayman,PlayStation,Platformer,Ubisoft Entertainment,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/0/4938/1041330-rayman_coverart.png
Rayman Arena,PlayStation 2,Action,Ubisoft Montpellier Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2146382-box_rayarena.png
Rayman: Raving Rabbids,Wii,Minigame Collection,Ubisoft Montpellier Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1810962-box_raymanrr.png
Re-Volt,PlayStation,Action,Big Bit Ltd,Game Factory Interactive Ltd.,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2339311-box_revolt.png
Reactor,Atari 2600,Action,Gottlieb,Parker Brothers,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367813-a2600_reactor_none.jpg
Ready 2 Rumble Boxing: Round 2,Nintendo 64,Sports,Crawfish Interactive,Midway Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2291770-box_r2rb2.png
Ready 2 Rumble Boxing: Round 2,PlayStation 2,Sports,Crawfish Interactive,Midway Games,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2291770-box_r2rb2.png
RealSports Baseball,Atari 2600,Sports,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366222-a5200_realsportsbaseball.jpg
RealSports Baseball,Atari 7800,Sports,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366222-a5200_realsportsbaseball.jpg
RealSports Boxing,Atari 2600,Sports,Imagineering Inc.,Atari,https://www.giantbomb.com/a/uploads/square_avatar/1/14206/967873-bus.jpg
RealSports Football,Atari 2600,Sports,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366223-a5200_realsportsfootball.jpg
RealSports Soccer,Atari 2600,Sports,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2366224-a5200_realsportssoccer.jpg
Record of Agarest War Zero,Xbox 360,Strategy,"Compile Heart, Inc.",Idea Factory,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2188521-box_roawz.png
Red Alarm,Virtual Boy,Action,"T&E Soft, Inc.",Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/0/4647/1228648-redalarm.jpg
Red Dead Redemption,Xbox 360,Shooter,Rockstar San Diego,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2737123-reddeadredemption.jpg
Red Dead Revolver,PlayStation 2,Action,Capcom,Rockstar Games,https://www.giantbomb.com/a/uploads/square_avatar/1/13158/1039634-gb.png
Red Steel,Wii,Action,Ubisoft Paris Studios,Ubisoft Entertainment,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2719859-rsclean.jpg
Rescue: The Embassy Mission,Nintendo Entertainment System,Action,Kemco,Kemco,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362155-nes_rescuetheembassymission.jpg
Resident Evil 2,Dreamcast,Action-Adventure,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1790014-box_re2.png
Resident Evil 4: Wii edition,Wii,Shooter,Capcom Production Studio 4,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2566479-re4.jpg
Resident Evil 5,Xbox 360,Action,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2566422-resident-evil-5-art.jpg
Resident Evil: Code Veronica,Dreamcast,Action-Adventure,Capcom,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/0/2579/1674279-resident_evil_code_veronica_box_front.jpg
Resident Evil: The Umbrella Chronicles,Wii,Light-Gun Shooter,cavia inc.,Capcom,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/2901279-reuc.jpg
Riddle of the Sphinx,Atari 2600,Action,Imagic,Imagic,https://www.giantbomb.com/a/uploads/square_avatar/16/164924/2941684-2712551798-riddl.jpg
Ring Fit Adventure,Nintendo Switch,Role-Playing,Nintendo EPD,Nintendo,https://www.giantbomb.com/a/uploads/square_avatar/8/82063/3127731-ringfit.jpg
Rise of the Dragon,Sega CD,Action,"Dynamix, Inc.","Dynamix, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/9408/721078-23794_boxshot_1.jpg
Risk,Genesis,Strategy,Parker Brothers,Ballistic,https://www.giantbomb.com/a/uploads/square_avatar/8/87610/2547815-%21%21e%21uytg%212m~%24%28kgrhqyokiye0frrfu7kbnp3rmijh%21~~_32.jpg
Risk of Rain 2,Nintendo Switch,Platformer,Hopoo Games,Gearbox Publishing,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/3124945-box_ror2.png
River City Ransom,Nintendo Entertainment System,Action,Million Co.,Technos Japan Corp.,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362156-nes_rivercityransom.jpg
River City Ransom EX,Game Boy Advance,Action,Technos Japan Corp.,505 Games,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362156-nes_rivercityransom.jpg
River Raid,Atari 2600,Shoot 'Em Up,Activision,Activision,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2367660-2600_riverraid.jpg
Road Rash,3DO,Action,"3d6 Games, Inc.",Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371391-genesis_roadrash.jpg
Road Rash 3,Genesis,Driving/Racing,Electronic Arts,Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2371396-genesis_roadrash3.jpg
Road Runner's Death Valley Rally,Super Nintendo Entertainment System,Action,"ICOM Simulations, Inc.",Sunsoft,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2364632-snes_roadrunnersdeathvalleyrally.jpg
RoadBlasters,Nintendo Entertainment System,Driving/Racing,Beam Software,Mindscape,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362157-nes_roadblasters.jpg
Robo Pit,Saturn,Action,Altron Corporation,Kokopeli Digital Studios,https://www.giantbomb.com/a/uploads/square_avatar/0/8273/631332-robo_pit_saturn_box_frontboxart_160w.jpg
RoboCop,Nintendo Entertainment System,Action,SAS Sakata,Data East Corporation,https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362160-nes_robocop.jpg
Robotech: Battlecry,PlayStation 2,Action,"Vicious Cycle Software, Inc.","TDK Mediactive, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/8/87790/2972479-box_rtbc.png
Robotica,Saturn,Shooter,Micronet,"Acclaim Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/0/6087/555597-g06827yfed3.jpg
Robotron: 2084,Atari 7800,Action,Atari,Atari,https://www.giantbomb.com/a/uploads/square_avatar/8/87790/1407733-35002101.jpg
RoboWarrior,Nintendo Entertainment System,Action,"Hudson Entertainment, Inc.","Hudson Entertainment, Inc.",https://www.giantbomb.com/a/uploads/square_avatar/9/93770/2362159-nes_robowarrior.jpg
Rock Band,Xbox 360,Music/Rhythm,"Harmonix Music Systems, Inc.",Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/0/4/175816-rock_band.jpg
Rock Band 2,Xbox 360,Music/Rhythm,"Harmonix Music Systems, Inc.",Electronic Arts,https://www.giantbomb.com/a/uploads/square_avatar/0/8169/963183-rb2_box.jpg
